Gebied,dp,yMV.bui,ysloot.1d,xMV.bin,xSloot.1a,xSloot.1c,xSloot.1d,xSloot.1b,xWeg.1,xTeen.1,xBerm.1a,xBerm.1b,xKruin.1,xKruin.2,xBerm.2a,xBerm.2b,xTeen.2,xWeg.2,xSloot.2,xMVB.bui,yMV.bin,ySloot.1a,ySloot.1c,ySloot.1b,yWeg.1,yTeen.1,yBerm.1a,yBerm.1b,yKruin.1,yKruin.2,yBerm.2a,yBerm.2b,yTeen.2,yWeg.2,ySloot.2
Os,785.0,-1.347,-0.99,-171.8,-18.8,-16.74,-16.51,-14.8,-12.8,-7.605,-1.665,-1.665,-1.665,1.784,4.979,9.271,24.251,43.2,43.2,78.2,0.481,0.66,-0.99,0.38,1.508,1.83,5.15,5.15,5.15,5.09,3.73,3.66,-0.78,1.122,1.122
Os,786.0,-1.363,-0.99,-200.26,-25.26,-22.66,-17.15,-13.26,-13.26,-7.177,-1.185,-1.185,-1.185,1.475,4.803,8.163,23.067,34.74,34.74,34.74,0.534,0.744,-0.99,1.603,1.603,2.05,5.19,5.19,5.19,5.11,3.99,3.37,-0.79,-1.363,-1.363
Os,787.0,-1.055,-0.99,-168.86,-59.86,-56.68,-42.92,-40.86,-38.86,-19.86,-15.86,-5.86,-1.937,-0.368,2.229,7.581,24.127,25.14,25.14,25.14,0.773,1.127,-0.99,0.386,0.825,0.563,2.045,2.391,5.11,5.13,3.92,3.72,-1.0,-1.055,-1.055
Os,788.0,-1.308,-0.99,-200.9,-78.9,-76.19,-24.48,-22.9,-22.9,-22.9,-16.9,-9.9,-2.584,0.421,4.125,11.501,27.362,32.36,32.36,32.36,0.755,0.818,-0.99,0.061,0.061,0.061,1.747,2.117,5.38,5.53,4.0,3.77,-1.05,-1.308,-1.308
Os,789.0,-1.347,-0.99,-200.45,-89.45,-86.83,-23.95,-22.45,-19.45,-10.772,-1.635,-1.635,-1.635,0.186,4.321,13.598,29.631,36.55,36.55,36.55,0.755,0.755,-0.99,0.008,1.31,1.79,5.5,5.5,5.5,5.41,3.99,3.73,-0.99,-1.347,-1.347
Os,790.0,-1.292,-1.11,-200.41,-17.41,-16.21,-15.93,-14.41,-14.41,-11.188,-11.188,-1.646,-1.646,-0.288,3.563,14.873,30.931,32.59,32.59,32.59,0.608,0.608,-1.11,1.067,1.067,1.38,1.38,5.71,5.71,5.83,4.04,3.71,-1.04,-1.292,-1.292
Os,791.0,-1.091,-1.11,-200.72,-18.72,-17.47,-17.15,-15.72,-14.72,-11.66,-2.128,-2.128,-2.128,-0.552,3.649,15.011,30.884,31.28,42.28,66.28,0.448,0.448,-1.11,0.68,1.228,1.38,5.7,5.7,5.7,5.74,3.94,3.7,-1.06,-0.864,-1.272
Os,792.0,-1.059,-1.11,-200.06,-19.06,-17.29,-17.04,-15.06,-15.06,-11.898,-2.177,-2.177,-2.177,-0.782,3.39,11.453,27.364,30.94,59.94,67.94,0.627,0.852,-1.11,1.089,1.089,1.41,5.73,5.73,5.73,5.78,3.95,3.72,-1.06,-1.236,-1.227
Os,793.0,-0.976,-1.11,-200.1,-18.68,-16.72,-16.2,-14.1,-14.1,-11.096,-1.629,-1.629,-1.629,-0.671,3.685,11.538,27.497,34.9,60.9,74.9,0.549,0.848,-1.11,0.994,0.994,1.46,5.78,5.78,5.78,5.81,3.97,3.74,-1.03,-1.306,-1.099
Os,794.0,-1.268,-1.11,-200.96,-17.96,-16.43,-16.13,-13.96,-13.96,-11.61,-1.828,-1.828,-1.828,-0.725,3.668,13.575,29.758,34.04,51.04,73.04,0.422,0.422,-1.11,1.063,1.063,1.22,5.76,5.76,5.76,5.78,3.99,3.74,-1.08,-1.131,-1.024
Os,795.0,-1.19,-1.11,-200.2,-17.2,-16.03,-15.69,-14.2,-14.2,-10.669,-1.696,-1.696,-1.696,-0.741,3.798,13.259,29.281,41.8,62.8,91.8,0.565,0.565,-1.11,1.012,1.012,1.54,5.72,5.72,5.72,5.74,3.97,3.79,-1.04,-1.12,-1.122
Os,796.0,-0.99,-1.11,-191.54,-18.54,-17.05,-16.75,-15.54,-14.54,-11.485,-2.284,-2.284,-2.284,-0.988,3.881,11.041,24.626,38.46,59.46,100.46,0.544,0.544,-1.11,0.23,0.977,1.34,5.59,5.59,5.59,5.56,3.87,3.74,-0.28,-0.919,-1.19
Os,797.0,-1.143,-1.17,-194.47,-36.47,-34.51,-34.17,-33.47,-16.47,-11.943,-2.68,-2.68,-2.68,-1.185,4.075,10.089,23.642,26.53,48.53,97.53,0.138,0.138,-1.17,-0.704,0.018,1.08,5.3,5.3,5.3,5.37,3.97,3.71,-0.33,-0.657,-1.256
Os,798.0,-1.13,-0.3,-200.86,-16.86,-15.82,-15.53,-13.86,-13.86,-10.84,-2.162,-2.162,-2.162,-0.919,3.669,11.157,24.705,33.87,65.14,75.14,0.362,0.472,-0.3,0.937,0.937,1.29,5.34,5.34,5.34,5.41,4.02,3.75,-0.3,-1.07,-0.822
Os,799.0,-1.183,-0.3,-200.25,-18.25,-16.89,-16.66,-15.25,-15.25,-11.285,-1.948,-1.948,-1.948,-0.881,3.198,10.13,25.291,38.75,64.75,87.75,0.399,0.788,-0.3,0.832,0.832,1.19,5.45,5.45,5.45,5.48,4.01,3.73,-0.36,-0.987,-0.969
Os,800.0,-0.923,-0.3,-200.62,-17.62,-15.76,-14.99,-12.62,-12.62,-11.182,-2.098,-2.098,-2.098,-0.752,3.401,10.035,25.218,26.38,56.38,82.38,0.557,0.943,-0.3,1.281,1.281,1.28,5.47,5.47,5.47,5.56,3.94,3.7,-0.27,-0.221,-1.263
Os,801.0,-0.613,-0.3,-200.42,-26.42,-24.02,-23.17,-21.42,-20.42,-14.101,-4.641,-4.641,-4.641,-2.849,5.658,12.77,28.051,40.58,40.58,83.58,0.578,1.299,-0.3,0.868,1.514,2.22,5.75,5.75,5.75,5.75,3.95,3.67,-0.31,-0.815,-0.815
